Minutes,Hour Began,Customers Affected,Latitude,Mean Elevation ,AvgAnnualPrecipitationIn,TempAvg,TempAvgHighF,TempAvgLowF,
1,15,41306,35.5889,1300,36.4,59.6,72.3,48.3,[1] 1
1,18,95400,40.1907,250,47.6,52.7,63.6,43.6,[1] 1
1,16,67893,44.3467,900,33.9,44.4,55,35.3,[1] 1
1,21,280982,31.4757,1700,28.6,64.8,78.1,53.5,[1] 1
1,3,175000,31.4757,1700,28.6,64.8,78.1,53.5,[1] 1
1,17,238015,31.4757,1700,28.6,64.8,78.1,53.5,[1] 1
1,17,70000,46.2807,1200,28.6,41.2,51.9,31.4,[1] 1
1,18,113000,44.3467,900,33.9,44.4,55,35.3,[1] 1
1,5,125000,38.9972,6800,22.3,59.4,71.5,46.5,[1] 1
1,15,72353,42.9538,1000,43.5,45.4,55.9,36.1,[1] 1
1,21,300000,40.0417,600,40.7,51.8,62.7,42.6,[1] 1
1,20,60000,44.3467,900,33.9,44.4,55,35.3,[1] 1
1,23,92748,35.5889,1300,36.4,59.6,72.3,48.3,[1] 1
1,8,165000,28.6305,100,54.4,70.7,81.9,60.9,[1] 1
1,9,173746,37.1841,2900,22.3,59.4,71.5,46.5,[1] 1
1,9,50000,31.0689,100,59.7,66.4,77.5,56.7,[1] 1
1,0,105000,47.3826,1700,43.2,48.3,57,37.6,[1] 1
1,9,95000,31.0689,100,59.7,66.4,77.5,56.7,[1] 1
1,22,153000,31.4757,1700,28.6,64.8,78.1,53.5,[1] 1
1,2,236100,47.3826,1700,43.2,48.3,57,37.6,[1] 1
1,7,25000,31.4757,1700,28.6,64.8,78.1,53.5,[1] 1
1,6,114402,37.1841,2900,22.3,59.4,71.5,46.5,[1] 1
1,6,55609,35.5889,1300,36.4,59.6,72.3,48.3,[1] 1
1,2,90000,32.7794,500 ,56.9,62.8,75,52.2,[1] 1
1,16,215387,39.8942,795,43.6,51.7,62.5,42.2,[1] 1
1,8,233000,44.3467,900,33.9,44.4,55,35.3,[1] 1
